Section,Key,Value
Summary,sport,boxing
Summary,overall_score,76.2
Summary,total_frames,335
Summary,errors,No pose detected; Right knee alignment could improve; Left knee alignment could improve
Summary,recommendations,Wall sit

Frame,overall_score,is_correct,movement_correct,errors,joint_scores
142,62.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:57; right_knee:0; shoulders:99; hips:92; left_elbow:61; right_elbow:65
143,90.6,True,True,,left_knee:96; right_knee:93; shoulders:94; hips:96; left_elbow:91; right_elbow:74
144,79.8,True,True,,left_knee:71; right_knee:94; shoulders:96; hips:99; left_elbow:63; right_elbow:56
145,85.3,True,True,Left knee alignment could improve,left_knee:51; right_knee:72; shoulders:100; hips:100; left_elbow:96; right_elbow:93
146,82.0,True,True,,left_knee:71; right_knee:91; shoulders:99; hips:99; left_elbow:76; right_elbow:56
147,58.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:0; right_knee:16; shoulders:88; hips:95; left_elbow:76; right_elbow:77
148,67.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:5; right_knee:69; shoulders:94; hips:100; left_elbow:82; right_elbow:59
149,72.3,True,True,Left knee alignment could improve,left_knee:6; right_knee:98; shoulders:91; hips:100; left_elbow:82; right_elbow:57
150,75.7,True,True,Left knee alignment could improve,left_knee:21; right_knee:98; shoulders:90; hips:98; left_elbow:87; right_elbow:60
151,87.0,True,True,Left knee alignment could improve,left_knee:64; right_knee:94; shoulders:90; hips:99; left_elbow:82; right_elbow:92
152,90.5,True,True,,left_knee:85; right_knee:100; shoulders:89; hips:100; left_elbow:77; right_elbow:93
153,89.3,True,True,,left_knee:88; right_knee:96; shoulders:91; hips:99; left_elbow:83; right_elbow:80
154,86.4,True,True,,left_knee:83; right_knee:95; shoulders:91; hips:99; left_elbow:71; right_elbow:79
155,84.6,True,True,,left_knee:83; right_knee:90; shoulders:92; hips:99; left_elbow:70; right_elbow:74
156,85.2,True,True,,left_knee:86; right_knee:86; shoulders:91; hips:99; left_elbow:72; right_elbow:77
157,86.4,True,True,,left_knee:82; right_knee:99; shoulders:92; hips:100; left_elbow:77; right_elbow:68
158,85.5,True,True,,left_knee:87; right_knee:94; shoulders:91; hips:100; left_elbow:76; right_elbow:65
159,77.9,True,True,Right knee alignment could improve,left_knee:98; right_knee:56; shoulders:92; hips:100; left_elbow:59; right_elbow:63
160,76.5,True,True,Right knee alignment could improve,left_knee:99; right_knee:40; shoulders:91; hips:99; left_elbow:68; right_elbow:62
161,75.0,True,True,Right knee alignment could improve,left_knee:95; right_knee:18; shoulders:92; hips:99; left_elbow:86; right_elbow:61
162,72.7,True,True,Right knee alignment could improve,left_knee:90; right_knee:13; shoulders:92; hips:99; left_elbow:80; right_elbow:63
163,80.2,True,True,Right knee alignment could improve,left_knee:91; right_knee:29; shoulders:92; hips:98; left_elbow:99; right_elbow:71
164,81.4,True,True,Right knee alignment could improve,left_knee:91; right_knee:36; shoulders:92; hips:99; left_elbow:99; right_elbow:72
165,82.5,True,True,Right knee alignment could improve,left_knee:99; right_knee:25; shoulders:92; hips:99; left_elbow:96; right_elbow:86
166,83.0,True,True,Right knee alignment could improve,left_knee:95; right_knee:21; shoulders:92; hips:99; left_elbow:92; right_elbow:99
167,74.5,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:55; right_knee:25; shoulders:93; hips:99; left_elbow:96; right_elbow:79
168,75.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:56; right_knee:30; shoulders:93; hips:99; left_elbow:96; right_elbow:79
169,66.0,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:27; right_knee:14; shoulders:93; hips:99; left_elbow:89; right_elbow:75
170,64.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:16; shoulders:93; hips:99; left_elbow:91; right_elbow:66
171,68.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:51; right_knee:0; shoulders:94; hips:98; left_elbow:100; right_elbow:70
172,69.5,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:59; right_knee:0; shoulders:94; hips:99; left_elbow:94; right_elbow:70
173,58.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:19; right_knee:0; shoulders:98; hips:98; left_elbow:76; right_elbow:62
174,56.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:0; right_knee:0; shoulders:99; hips:96; left_elbow:75; right_elbow:68
175,61.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:0; shoulders:99; hips:96; left_elbow:82; right_elbow:71
176,61.8,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:26; right_knee:0; shoulders:99; hips:93; left_elbow:78; right_elbow:75
177,63.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:40; right_knee:0; shoulders:98; hips:98; left_elbow:76; right_elbow:68
178,71.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:65; right_knee:21; shoulders:96; hips:99; left_elbow:78; right_elbow:68
179,80.3,True,True,Left knee alignment could improve,left_knee:65; right_knee:86; shoulders:96; hips:99; left_elbow:69; right_elbow:66
