Section,Key,Value
Summary,sport,boxing
Summary,overall_score,70.2
Summary,total_frames,360
Summary,errors,Hips not level; Shoulders not level; Left knee alignment could improve; Right knee alignment could improve; No pose detected
Summary,recommendations,Hip bridge; Band pull-apart; Wall sit; Wrist curls

Frame,overall_score,is_correct,movement_correct,errors,joint_scores
116,67.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:24; right_knee:38; shoulders:96; hips:94; left_elbow:81; right_elbow:72
117,68.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:24; right_knee:40; shoulders:96; hips:95; left_elbow:82; right_elbow:72
118,67.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:41; shoulders:97; hips:95; left_elbow:82; right_elbow:70
119,67.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:40; shoulders:97; hips:94; left_elbow:82; right_elbow:71
120,67.0,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:37; shoulders:97; hips:95; left_elbow:82; right_elbow:70
121,67.0,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:37; shoulders:97; hips:95; left_elbow:82; right_elbow:70
122,66.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:36; shoulders:96; hips:95; left_elbow:82; right_elbow:70
123,67.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:37; shoulders:96; hips:95; left_elbow:82; right_elbow:70
124,67.5,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:36; shoulders:97; hips:95; left_elbow:82; right_elbow:73
125,67.5,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:35; shoulders:98; hips:95; left_elbow:82; right_elbow:72
126,67.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:35; shoulders:97; hips:95; left_elbow:82; right_elbow:71
127,67.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:35; shoulders:98; hips:95; left_elbow:82; right_elbow:71
128,66.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:34; shoulders:97; hips:95; left_elbow:82; right_elbow:71
129,66.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:34; shoulders:97; hips:95; left_elbow:82; right_elbow:71
130,66.8,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:34; shoulders:97; hips:94; left_elbow:82; right_elbow:73
131,73.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:30; right_knee:69; shoulders:96; hips:92; left_elbow:81; right_elbow:73
132,71.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:33; right_knee:58; shoulders:96; hips:92; left_elbow:82; right_elbow:72
133,71.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:36; right_knee:55; shoulders:95; hips:91; left_elbow:81; right_elbow:73
134,73.0,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:38; right_knee:62; shoulders:96; hips:91; left_elbow:82; right_elbow:69
135,74.0,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:37; right_knee:67; shoulders:96; hips:91; left_elbow:82; right_elbow:71
136,78.5,True,True,Left knee alignment could improve,left_knee:50; right_knee:78; shoulders:98; hips:92; left_elbow:84; right_elbow:69
137,79.4,True,True,Left knee alignment could improve,left_knee:54; right_knee:81; shoulders:97; hips:93; left_elbow:81; right_elbow:70
138,75.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:48; right_knee:62; shoulders:88; hips:98; left_elbow:84; right_elbow:74
139,74.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:48; right_knee:56; shoulders:88; hips:98; left_elbow:83; right_elbow:76
140,74.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:48; right_knee:59; shoulders:90; hips:95; left_elbow:82; right_elbow:71
141,72.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:42; right_knee:54; shoulders:91; hips:95; left_elbow:81; right_elbow:72
142,74.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:50; right_knee:60; shoulders:93; hips:94; left_elbow:79; right_elbow:70
143,76.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:55; right_knee:66; shoulders:94; hips:94; left_elbow:79; right_elbow:70
144,73.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:42; right_knee:68; shoulders:95; hips:87; left_elbow:76; right_elbow:73
145,69.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:16; right_knee:65; shoulders:100; hips:91; left_elbow:75; right_elbow:68
146,61.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:21; shoulders:98; hips:94; left_elbow:75; right_elbow:59
147,60.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:12; right_knee:23; shoulders:95; hips:95; left_elbow:75; right_elbow:66
148,60.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:16; right_knee:16; shoulders:96; hips:95; left_elbow:75; right_elbow:62
149,61.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:12; right_knee:21; shoulders:98; hips:95; left_elbow:75; right_elbow:66
150,61.5,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:12; right_knee:24; shoulders:100; hips:95; left_elbow:75; right_elbow:64
151,62.0,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:12; right_knee:27; shoulders:99; hips:95; left_elbow:74; right_elbow:65
152,60.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:14; right_knee:15; shoulders:100; hips:96; left_elbow:75; right_elbow:66
153,60.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:11; right_knee:19; shoulders:99; hips:95; left_elbow:75; right_elbow:62
154,63.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:11; right_knee:37; shoulders:100; hips:95; left_elbow:75; right_elbow:63
155,64.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:5; right_knee:55; shoulders:97; hips:95; left_elbow:74; right_elbow:63
